Sr.No,Main Code,Sub Code,Name of Establishment,Address,City,Date of Applicability of Act,Beat
1,BOA03399, 000,4-SEASONS ENTERPRSIES ,41-INDUSTRIAL ESTATE PHASE 1 ,MULTAN,01-JUL-21,A
2,AAE02719,BO087,A.Q MAN POWER (PVT) LTD( C/O MCR PIZZA HUT CANTT.),"NEAR CHAMAN ZAR ASKARI , SHER SHAH ROAD",MULTAN,01-JAN-17,A
3,BOA01044, 000,AAA DOUBLERS (PVT) LTD,PLOT-86 A & B INDUSTRIAL ESTATE ,MULTAN,01-JUL-08,A
4,BOA01769, 000,AAZCO GROUP,7-C INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-10,A
5,BOA03249, 000,AB APPARELS,"HAMIDPUR KANORA ROAD, INDUSTRIAL ESTATE",MULTAN,01-NOV-20,A
6,BOA02317, 000,ABCD WAREHOUSE,21-B INDUSTRIAL ESTATE PHASE-I ,MULTAN,01-JAN-14,A
7,BMA00186,BO001,ABDULLAH HASEEB AGRO CHEMICAL,6-A INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUL-11,A
8,BOA03114, 000,ABDULLAH PACKAGES,322-INDUSTRIAL ESTATE PHASE II,MULTAN,01-NOV-19,A
9,BOA00546, 000,ABRAR FLOUR MILLS PVT LTD,46-B INDUSTRIAL ESTATE MULTAN ,MULTAN,01-DEC-95,A
10,BOA03413, 000,ABUHURAIRA PROTEIN,62-C-1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUL-20,A
11,FAA01185,BO010,ACTED,AL QUARISH TOWN HOUSE NO 100 STREET NO 3 SHERSHAH ROAD MULTAN,MULTAN,01-OCT-25,A
12,BOA03270, 000,ADLER AG,"PLOT# 44, INDUSTRIAL ESTATE PHASEII",MULTAN,01-APR-21,A
13,BOA02961, 000,ADNAN BROTHERS SERVICES,"HOUSE NO 03, ST 01 ITEHAD COLONY FOUNDRY ROAD NEAR PSO DEPOT KOTLAKPAT",LAHORE,01-JUN-18,A
14,BOA01126, 000,AFZAL MEDICARE,GARDEN TOWN SHER SHAH ROAD,MULTAN,01-JAN-09,A
15,BOA03522, 000,AG PHARMA,"PLOT#9, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-15,A
16,AAF01273,BO006,AGILITY LOGISTICS PVT LTD,PLOT#3 MEHTABI TOWER PHASE 11 INDUSTRIAL ESTATE MULTAN,MULTAN,25-MAR-12,A
17,BOA03018, 000,AGREN PAKISTAN & HELM SEEDS PVT LTD,PLOT NO A/1 SHAH JAHAN CITY BAHAWALPUR BYPASS CHOWK BWP ROAD,MULTAN,01-APR-13,A
18,BOA01811, 000,AGRI FORCE CHEMICALS,INDUSTRTIAL ESTATE PHASE 2 MULTAN,MULTAN,01-FEB-12,A
19,BOA00823, 000,AGRI FORM,79-INDL ESTATE ,MULTAN,26-NOV-02,A
20,BOA01439, 000,AGRI FORM SERVICES PVT LTD,77- INDUSTRIAL ESTATE MULTAN,MULTAN,09-JUN-08,A
21,BOA01975, 000,AGRI PLUS,4-A INDUSTRIAL ESTATE MULTAN,MULTAN,16-JAN-13,A
22,BOA01516, 000,AGRI TOP,77 INDUSTRIAL ESTATE MULTAN,MULTAN,01-OCT-10,A
23,BOA02545, 000,AGRICA CHEMICALS,"62-A, INDUSTRIAL ESTATE",MULTAN,01-JUL-16,A
24,BOA01736, 000,AGRIES INTERNATIONAL(PVT) LTD,33-INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-12,A
25,BOA02832, 000,AGRINAR PAKISTAN,47-B INDUSTRIAL ESTATE PHASE-I,MULTAN,01-SEP-17,A
26,BOA00828, 000,AGRITEC INDS PVT LTD,47-B-I INDL ESTATE ,MULTAN,01-JUL-02,A
27,BOA03045, 000,AGRO FOOD PROCESSING(AFP) FACILITIES MULTAN,"PLOT # 30-33, INDUSTRIAL ESATATE PHASE II ",MULTAN,09-JUL-12,A
28,BOA02501, 000,AGRO PROCESSOR & ATMOSPHERIC GASES LTD,56-58 INDUSTRIAL ESTATE PHASE-I,MULTAN,01-JUL-14,A
